filename,NetTopology,NumDisplayedTrees,MajTreeTopology,MajTreeProp,seed,ancestralmean,variance,replicate,numHybrids,numTransgressive,l8,l9,i5,i4,l6,l7,i7,l11,i12,l10,H24,brH24,i11,l2,l3,i14,i10,H17,brH17,l4,H26,brH26,l5,i16,i15,i8,i6,i3
LN_99.nwk.txt,"(((l8:0.02213572074,l9:0.02213572074)i5:0.1810476378,#H26:0.07868430419::0.3950201371)i4:1.432881312,((l6:0.1041259337,l7:0.1041259337)i7:1.092572989,(((((l11:0.02136399021,#H24:0.0::0.4188939795)i12:0.2636493509,(l10:0.02136399021)#H24:0.2636493509::0.5811060205)i11:0.2093467295,(l2:0.1497591788,l3:0.1497591788)i14:0.3446008919)i10:0.234437675)#H17:0.04611268529::0.6599409472,(((l4:0.1244990543)#H26:0.0::0.6049798629,l5:0.1244990543)i16:0.6042986913,#H17:0.0::0.3400590528)i15:0.04611268529)i8:0.4217884916)i6:0.4393657476)i3;",8,"(((l6:0.1041259337,l7:0.1041259337)i7:1.092572989,(((l10:0.28501334111000004,l11:0.28501334111000004)i11:0.2093467295,(l2:0.1497591788,l3:0.1497591788)i14:0.3446008919)i10:0.28055036029,(l5:0.1244990543,l4:0.1244990543)i16:0.65041137659)i8:0.4217884916)i6:0.4393657476,(l8:0.02213572074,l9:0.02213572074)i5:1.6139289498)i3;",0.23200715035299105,645859,0.0,1.0,49,3,0,1.0599921745317393,0.7050992056843429,0.6803022710800057,0.5426267741683217,1.6368337019706292,1.881221464349407,1.7120421374919972,1.8818720361532466,1.9766926019797029,2.0811356556551246,2.243501457917335,0.0,2.0527168566095098,1.1316182796063095,0.669986210686143,0.8936484709899795,1.4019791953177883,1.246234579439541,0.0,0.5989596625725573,0.7006116874244752,0.0,1.3225926960301688,0.893955528355538,1.2217040309966942,1.1540432935916318,0.760388849375443,0.0
LN_99.nwk.txt,"(((l8:0.02213572074,l9:0.02213572074)i5:0.1810476378,#H26:0.07868430419::0.3950201371)i4:1.432881312,((l6:0.1041259337,l7:0.1041259337)i7:1.092572989,(((((l11:0.02136399021,#H24:0.0::0.4188939795)i12:0.2636493509,(l10:0.02136399021)#H24:0.2636493509::0.5811060205)i11:0.2093467295,(l2:0.1497591788,l3:0.1497591788)i14:0.3446008919)i10:0.234437675)#H17:0.04611268529::0.6599409472,(((l4:0.1244990543)#H26:0.0::0.6049798629,l5:0.1244990543)i16:0.6042986913,#H17:0.0::0.3400590528)i15:0.04611268529)i8:0.4217884916)i6:0.4393657476)i3;",8,"(((l6:0.1041259337,l7:0.1041259337)i7:1.092572989,(((l10:0.28501334111000004,l11:0.28501334111000004)i11:0.2093467295,(l2:0.1497591788,l3:0.1497591788)i14:0.3446008919)i10:0.28055036029,(l5:0.1244990543,l4:0.1244990543)i16:0.65041137659)i8:0.4217884916)i6:0.4393657476,(l8:0.02213572074,l9:0.02213572074)i5:1.6139289498)i3;",0.23200715035299105,150672,0.0,1.0,50,3,1,-0.5827800516459781,-0.38735214822773156,-0.5468198539234712,-0.5463995264065215,1.7313041353076406,1.6458047392973707,1.529452662483883,0.9394355111275602,1.0530818262138057,1.104786904500158,1.0293155632010207,0.0,0.7283082154928351,-1.472730185069103,-1.3738011839421844,-0.954312347846198,-0.003811957526219767,-0.369005792337207,0.0,6.156166239916644,-0.8994952312330305,6.448954994696589,-1.0593345805229444,-1.012739028291898,-0.3004099417125069,-0.2509883416041202,0.19562075093959422,0.0
LN_99.nwk.txt,"(((l8:0.02213572074,l9:0.02213572074)i5:0.1810476378,#H26:0.07868430419::0.3950201371)i4:1.432881312,((l6:0.1041259337,l7:0.1041259337)i7:1.092572989,(((((l11:0.02136399021,#H24:0.0::0.4188939795)i12:0.2636493509,(l10:0.02136399021)#H24:0.2636493509::0.5811060205)i11:0.2093467295,(l2:0.1497591788,l3:0.1497591788)i14:0.3446008919)i10:0.234437675)#H17:0.04611268529::0.6599409472,(((l4:0.1244990543)#H26:0.0::0.6049798629,l5:0.1244990543)i16:0.6042986913,#H17:0.0::0.3400590528)i15:0.04611268529)i8:0.4217884916)i6:0.4393657476)i3;",8,"(((l6:0.1041259337,l7:0.1041259337)i7:1.092572989,(((l10:0.28501334111000004,l11:0.28501334111000004)i11:0.2093467295,(l2:0.1497591788,l3:0.1497591788)i14:0.3446008919)i10:0.28055036029,(l5:0.1244990543,l4:0.1244990543)i16:0.65041137659)i8:0.4217884916)i6:0.4393657476,(l8:0.02213572074,l9:0.02213572074)i5:1.6139289498)i3;",0.23200715035299105,497246,0.0,1.0,51,3,0,0.5407278468258301,0.21085958238379165,0.4553717449311683,0.47639327544499394,-1.5932132388996718,-1.7311249567221128,-1.3877516455851209,-2.757568648253325,-2.6152447588483003,-1.8208960975790405,-2.0036390214902977,0.0,-2.0328236259407855,-1.3438177955009734,-2.4367409772573594,-2.0691962575980987,-1.5547204074775398,-1.3091775780889616,0.0,0.2128586190322146,-0.04422104766422941,0.0,-0.1486617016983674,-0.35860370994269763,-0.9863145488856859,-1.304094783069711,-1.276232790674898,0.0
LN_99.nwk.txt,"(((l8:0.02213572074,l9:0.02213572074)i5:0.1810476378,#H26:0.07868430419::0.3950201371)i4:1.432881312,((l6:0.1041259337,l7:0.1041259337)i7:1.092572989,(((((l11:0.02136399021,#H24:0.0::0.4188939795)i12:0.2636493509,(l10:0.02136399021)#H24:0.2636493509::0.5811060205)i11:0.2093467295,(l2:0.1497591788,l3:0.1497591788)i14:0.3446008919)i10:0.234437675)#H17:0.04611268529::0.6599409472,(((l4:0.1244990543)#H26:0.0::0.6049798629,l5:0.1244990543)i16:0.6042986913,#H17:0.0::0.3400590528)i15:0.04611268529)i8:0.4217884916)i6:0.4393657476)i3;",8,"(((l6:0.1041259337,l7:0.1041259337)i7:1.092572989,(((l10:0.28501334111000004,l11:0.28501334111000004)i11:0.2093467295,(l2:0.1497591788,l3:0.1497591788)i14:0.3446008919)i10:0.28055036029,(l5:0.1244990543,l4:0.1244990543)i16:0.65041137659)i8:0.4217884916)i6:0.4393657476,(l8:0.02213572074,l9:0.02213572074)i5:1.6139289498)i3;",0.23200715035299105,828492,0.0,1.0,52,3,2,1.5340846709917073,1.7631942408097183,1.6627448578054107,1.0511179719974446,-1.072189011065166,-0.8395068890871034,-0.6793805639396395,-2.311878589258672,-2.304965054406909,9.41492437981995,-2.195002315193417,11.58665035985575,-1.784723310495942,-1.94776528271287,-1.7011426932269944,-2.1736753612938733,-2.24019792988524,-0.7576269804376816,0.0,6.215667850614331,0.25289020181876654,6.380635451026752,-0.17717959117062815,-0.31690409912390566,-0.7481433221874587,-1.047165827091182,-0.44755945278295756,0.0
LN_99.nwk.txt,"(((l8:0.02213572074,l9:0.02213572074)i5:0.1810476378,#H26:0.07868430419::0.3950201371)i4:1.432881312,((l6:0.1041259337,l7:0.1041259337)i7:1.092572989,(((((l11:0.02136399021,#H24:0.0::0.4188939795)i12:0.2636493509,(l10:0.02136399021)#H24:0.2636493509::0.5811060205)i11:0.2093467295,(l2:0.1497591788,l3:0.1497591788)i14:0.3446008919)i10:0.234437675)#H17:0.04611268529::0.6599409472,(((l4:0.1244990543)#H26:0.0::0.6049798629,l5:0.1244990543)i16:0.6042986913,#H17:0.0::0.3400590528)i15:0.04611268529)i8:0.4217884916)i6:0.4393657476)i3;",8,"(((l6:0.1041259337,l7:0.1041259337)i7:1.092572989,(((l10:0.28501334111000004,l11:0.28501334111000004)i11:0.2093467295,(l2:0.1497591788,l3:0.1497591788)i14:0.3446008919)i10:0.28055036029,(l5:0.1244990543,l4:0.1244990543)i16:0.65041137659)i8:0.4217884916)i6:0.4393657476,(l8:0.02213572074,l9:0.02213572074)i5:1.6139289498)i3;",0.23200715035299105,199909,0.0,1.0,53,3,0,-0.45182283236624543,-0.02026030257749717,-0.13444675547040724,-0.4876804819589971,-2.2264992899362954,-1.9899773908766545,-1.6912519986587875,-2.450355000818248,-2.3927257670627333,-2.147418792462704,-2.292083721324813,0.0,-2.0133518010361593,-2.060387983736092,-1.4681654643313289,-1.455580966280031,-1.8257539415481987,-1.0730072896909866,0.0,-1.391516597283979,-1.0339276392299923,0.0,-1.418093934808997,-1.4398710259396867,-1.1135553207160698,-1.1239643812266062,-0.8902198549719219,0.0
LN_99.nwk.txt,"(((l8:0.02213572074,l9:0.02213572074)i5:0.1810476378,#H26:0.07868430419::0.3950201371)i4:1.432881312,((l6:0.1041259337,l7:0.1041259337)i7:1.092572989,(((((l11:0.02136399021,#H24:0.0::0.4188939795)i12:0.2636493509,(l10:0.02136399021)#H24:0.2636493509::0.5811060205)i11:0.2093467295,(l2:0.1497591788,l3:0.1497591788)i14:0.3446008919)i10:0.234437675)#H17:0.04611268529::0.6599409472,(((l4:0.1244990543)#H26:0.0::0.6049798629,l5:0.1244990543)i16:0.6042986913,#H17:0.0::0.3400590528)i15:0.04611268529)i8:0.4217884916)i6:0.4393657476)i3;",8,"(((l6:0.1041259337,l7:0.1041259337)i7:1.092572989,(((l10:0.28501334111000004,l11:0.28501334111000004)i11:0.2093467295,(l2:0.1497591788,l3:0.1497591788)i14:0.3446008919)i10:0.28055036029,(l5:0.1244990543,l4:0.1244990543)i16:0.65041137659)i8:0.4217884916)i6:0.4393657476,(l8:0.02213572074,l9:0.02213572074)i5:1.6139289498)i3;",0.23200715035299105,654924,0.0,1.0,54,3,0,1.8339755161689961,1.672481781315068,1.7550262263676224,1.302470031048451,0.5333079269895029,1.0755080882783552,0.8900670307239555,1.1507825997296537,1.1106237857277628,1.1649754440367661,1.2066499741219339,0.0,0.8931484844060673,-0.1301281396237559,0.33146047511293236,0.6064101254955037,0.5141076531903903,0.9560746907828975,0.0,1.6069681139161924,1.5938179361405855,0.0,2.1285680337862254,1.5930273743414083,1.0539593418944984,1.03645592939438,0.6255241084739313,0.0
LN_99.nwk.txt,"(((l8:0.02213572074,l9:0.02213572074)i5:0.1810476378,#H26:0.07868430419::0.3950201371)i4:1.432881312,((l6:0.1041259337,l7:0.1041259337)i7:1.092572989,(((((l11:0.02136399021,#H24:0.0::0.4188939795)i12:0.2636493509,(l10:0.02136399021)#H24:0.2636493509::0.5811060205)i11:0.2093467295,(l2:0.1497591788,l3:0.1497591788)i14:0.3446008919)i10:0.234437675)#H17:0.04611268529::0.6599409472,(((l4:0.1244990543)#H26:0.0::0.6049798629,l5:0.1244990543)i16:0.6042986913,#H17:0.0::0.3400590528)i15:0.04611268529)i8:0.4217884916)i6:0.4393657476)i3;",8,"(((l6:0.1041259337,l7:0.1041259337)i7:1.092572989,(((l10:0.28501334111000004,l11:0.28501334111000004)i11:0.2093467295,(l2:0.1497591788,l3:0.1497591788)i14:0.3446008919)i10:0.28055036029,(l5:0.1244990543,l4:0.1244990543)i16:0.65041137659)i8:0.4217884916)i6:0.4393657476,(l8:0.02213572074,l9:0.02213572074)i5:1.6139289498)i3;",0.23200715035299105,321007,0.0,1.0,55,3,0,-0.7880814147380599,-0.5960264072018094,-0.6173142992107916,0.1163053012328945,-2.0491455530715443,-1.8841447135912341,-2.0713632085107117,0.44729166961315814,0.47901796231696253,0.6873815977475728,0.6328657722671112,0.0,0.8278990663049203,0.5675908505725973,0.25549156486394276,0.6602738482195961,0.00583177869884377,-0.6146068755452185,0.0,-0.22740217936239937,-0.965778471813058,0.0,-1.4390550319749391,-1.6338178876098368,-0.9140511368776179,-0.907024141383534,-1.1318512196543118,0.0
LN_99.nwk.txt,"(((l8:0.02213572074,l9:0.02213572074)i5:0.1810476378,#H26:0.07868430419::0.3950201371)i4:1.432881312,((l6:0.1041259337,l7:0.1041259337)i7:1.092572989,(((((l11:0.02136399021,#H24:0.0::0.4188939795)i12:0.2636493509,(l10:0.02136399021)#H24:0.2636493509::0.5811060205)i11:0.2093467295,(l2:0.1497591788,l3:0.1497591788)i14:0.3446008919)i10:0.234437675)#H17:0.04611268529::0.6599409472,(((l4:0.1244990543)#H26:0.0::0.6049798629,l5:0.1244990543)i16:0.6042986913,#H17:0.0::0.3400590528)i15:0.04611268529)i8:0.4217884916)i6:0.4393657476)i3;",8,"(((l6:0.1041259337,l7:0.1041259337)i7:1.092572989,(((l10:0.28501334111000004,l11:0.28501334111000004)i11:0.2093467295,(l2:0.1497591788,l3:0.1497591788)i14:0.3446008919)i10:0.28055036029,(l5:0.1244990543,l4:0.1244990543)i16:0.65041137659)i8:0.4217884916)i6:0.4393657476,(l8:0.02213572074,l9:0.02213572074)i5:1.6139289498)i3;",0.23200715035299105,996462,0.0,1.0,56,3,0,1.156680601889723,0.9767163451812463,0.9358559341483913,0.6753271590100155,-1.2114142834511692,-0.9210280703279803,-0.946241853072695,-0.7510712862510025,-0.6165806917264279,-0.5948272615394865,-0.44612840676552473,0.0,-0.6296906149637359,-0.36089278503913,-0.3161752948360382,-0.40945376721569493,-0.7319956839254049,-0.47085878307424894,0.0,0.28207849121348316,0.15672555739678473,0.0,-0.616214955401005,-0.45380354587782434,-0.6714393727816028,-0.6302349607129536,-0.17794120296890875,0.0
LN_99.nwk.txt,"(((l8:0.02213572074,l9:0.02213572074)i5:0.1810476378,#H26:0.07868430419::0.3950201371)i4:1.432881312,((l6:0.1041259337,l7:0.1041259337)i7:1.092572989,(((((l11:0.02136399021,#H24:0.0::0.4188939795)i12:0.2636493509,(l10:0.02136399021)#H24:0.2636493509::0.5811060205)i11:0.2093467295,(l2:0.1497591788,l3:0.1497591788)i14:0.3446008919)i10:0.234437675)#H17:0.04611268529::0.6599409472,(((l4:0.1244990543)#H26:0.0::0.6049798629,l5:0.1244990543)i16:0.6042986913,#H17:0.0::0.3400590528)i15:0.04611268529)i8:0.4217884916)i6:0.4393657476)i3;",8,"(((l6:0.1041259337,l7:0.1041259337)i7:1.092572989,(((l10:0.28501334111000004,l11:0.28501334111000004)i11:0.2093467295,(l2:0.1497591788,l3:0.1497591788)i14:0.3446008919)i10:0.28055036029,(l5:0.1244990543,l4:0.1244990543)i16:0.65041137659)i8:0.4217884916)i6:0.4393657476,(l8:0.02213572074,l9:0.02213572074)i5:1.6139289498)i3;",0.23200715035299105,14361,0.0,1.0,57,3,0,-2.9279133302826668,-2.4523388582754353,-2.769131000900686,-1.8307799356407188,-1.1677491219451435,-0.8687840853053356,-1.0089228223906987,-2.306199485286231,-1.863800789816956,-2.3230731009389576,-2.3388747350432406,0.0,-1.75246583224397,-4.2127819116473475,-3.40876279543072,-3.586646295836485,-2.5947992090453162,-2.3471791958927204,0.0,-1.644468141067558,-1.9786237257103316,0.0,-2.565485730971255,-2.324419533119379,-2.397388708603785,-2.459199496248299,-0.8444006560828463,0.0
LN_99.nwk.txt,"(((l8:0.02213572074,l9:0.02213572074)i5:0.1810476378,#H26:0.07868430419::0.3950201371)i4:1.432881312,((l6:0.1041259337,l7:0.1041259337)i7:1.092572989,(((((l11:0.02136399021,#H24:0.0::0.4188939795)i12:0.2636493509,(l10:0.02136399021)#H24:0.2636493509::0.5811060205)i11:0.2093467295,(l2:0.1497591788,l3:0.1497591788)i14:0.3446008919)i10:0.234437675)#H17:0.04611268529::0.6599409472,(((l4:0.1244990543)#H26:0.0::0.6049798629,l5:0.1244990543)i16:0.6042986913,#H17:0.0::0.3400590528)i15:0.04611268529)i8:0.4217884916)i6:0.4393657476)i3;",8,"(((l6:0.1041259337,l7:0.1041259337)i7:1.092572989,(((l10:0.28501334111000004,l11:0.28501334111000004)i11:0.2093467295,(l2:0.1497591788,l3:0.1497591788)i14:0.3446008919)i10:0.28055036029,(l5:0.1244990543,l4:0.1244990543)i16:0.65041137659)i8:0.4217884916)i6:0.4393657476,(l8:0.02213572074,l9:0.02213572074)i5:1.6139289498)i3;",0.23200715035299105,584993,0.0,1.0,58,3,0,-0.5887924909193041,-0.6725197637562919,-0.6810642448732236,-0.7032256812659942,-1.4444570598512028,-1.629041640617962,-1.1740493283043691,1.5681041572829046,1.383465557425721,0.9671996442595857,0.9131117953943617,0.0,0.6580804293937896,1.5816732347933997,0.6671940238766992,1.5552499961131678,0.8979420662353128,0.29867793534868264,0.0,-1.1464204276159475,-0.9347884769589735,0.0,-1.5020761530908207,-1.4809339756746502,0.3268089848869147,0.30679347205868956,-0.1026426533279352,0.0
