"TreeTopology","Netname","netType"
"(((l8:0.4990180636,l12:0.4990180637)i5:0.7248234312,((l6:0.6713987523,t28:0.34519377033)i8:0.05816267228,((l9:0.4980585456,l10:0.49805854559999996)i12:0.04500417575,((t29:0.13515602463,l13:0.2493541347)i15:0.1151202494,t3:0.2267613127)i14:0.1785883374)i11:0.18649870321)i7:0.4942800703)i4:0.6901408331,(t14:0.8996824696,((l7:0.6185901,(l11:0.1900919606,(l14:0.06966712964,l15:0.06966712964)i22:0.1204248309)i21:0.4284981394)i20:0.03419854047,t35:0.3052423069)i19:0.3085910316)i18:0.9526026559)i3;","BLNF_72.nwk.txt","LN"
"(((l10:0.977044799605,l9:0.977044799605)i6:0.1639174229,l2:1.1409622225)i4:0.7374282434,((l5:0.3295454943,(l6:0.2549010875,(l7:0.01664706534,l8:0.01664706534)i14:0.23825402216)i12:0.07464440674)i11:0.5170865009,((l3:0.4799255853,l4:0.4799255853)i16:0.02555815384,t3:0.5054837392)i15:0.341148256)i10:1.031758471)i3;","BLN_12.nwk.txt","LN"
"((l3:0.6217086637,((((l6:0.1774377549,(l11:0.04836461603,l12:0.04836461603)i10:0.1290731389)i9:0.05850879073,l9:0.23594654561)i7:0.114735764,l5:0.3506823096)i6:0.1792562975,l10:0.5299386071100001)i5:0.09177005657)i4:2.465193104,(l4:0.3601710057,(l7:0.149846326,l8:0.149846326)i13:0.2103246797)i12:2.726730762)i3;","LN_95.nwk.txt","LN"
"(((l5:0.2727271915,((l9:0.001955846688,l10:0.001955846688)i14:0.02277387835,l8:0.02472972504)i13:0.2479974664)i11:1.155660974,l1:1.428388166)i9:0.9936652761,(((l3:0.4035120409,l4:0.4035120409)i7:0.07473464375,l2:0.4782466847)i6:0.1057819255,(l6:0.1929869415,l7:0.1929869415)i8:0.3910416687)i5:1.8380248319999999)i3;","LNF_37.nwk.txt","LN"
"(((((l3:0.2377913507,l4:0.2377913507)i7:0.4195915578,(((l9:0.01345462365,l10:0.01345462365)i12:0.0509167926,l8:0.06437141625)i10:0.1534496449,l5:0.21782106113)i8:0.4395618473)i6:0.8720918372,((l6:0.08992028934,(l11:0.004810209528,l12:0.004810209528)i17:0.08511007982)i16:0.291058732584,l7:0.38097902194)i13:1.148495724)i5:0.01235397921,t1:1.3876064233999998)i4:1.421839623,t6:0.2872964245)i3;","LNF_75.nwk.txt","LN"
"(((((l7:0.114881384,l8:0.114881384)i9:0.30643404229,t32:0.4213154264)i6:0.322441449,(l5:0.5045838827,(l6:0.2422278013,(l10:0.07638690138,t38:0.07638690138)i13:0.1658408999)i12:0.26235608147)i10:0.2391729927)i5:0.944149567,l9:1.68790644282)i4:0.08043745533,(l3:0.8906582462,l4:0.8906582462)i17:0.8776856515)i3;","LN_63.nwk.txt","LN"
"((t1:0.04377054033,(l4:2.034135208,((((l11:0.005591291292,l12:0.005591291292)i11:0.09425310144,(l9:0.01300158189,l10:0.01300158189)i12:0.08684281084)i10:0.3577612731,(l7:0.1660286531,l8:0.1660286531)i13:0.2915770127)i9:1.090895375,(l5:0.8334171136999999,(l6:0.3025614781,t17:0.3025614781)i17:0.53085563562)i14:0.7150839269)i8:0.4856341676)i7:2.142308141)i6:2.355120503,t34:1.487382551)i4;","LNF_98.nwk.txt","LN"
"((((((l10:0.005482508857,l11:0.005482508857)i8:0.06625441227,l9:0.07173692113)i7:0.007156599257,l8:0.07889352039)i6:0.5613360698,(l6:0.09783419961,l7:0.09783419961)i9:0.5423953906)i5:0.04725832814,((l4:0.1424580027,t1:0.14245800275999998)i11:0.1385881042,l3:0.2810461069)i10:0.4064418115)i4:0.4844537145,l5:1.1719416334)i3;","BLN_61.nwk.txt","LN"
"((l3:0.1695058487,l4:0.1695058487)i4:1.159011812,((((l10:0.005641487342,l11:0.005641487342)i9:0.2648473536,((l7:0.06435663587,l9:0.06435663587)i11:0.07443693598,l6:0.1387935719)i10:0.1316952691)i8:0.06502646961,l5:0.3355153106)i6:0.262615056,(l2:0.371711853,l8:0.37171185295)i13:0.2264185136)i5:0.730387294)i3;","BLN_66.nwk.txt","LN"
"(t1:0.4160977425,((((l3:0.3042380725,(l10:0.01502282802,l11:0.01502282802)i10:0.2892152445)i8:0.1542644248,l7:0.45850249730000003)i6:0.5701284872,(((l5:0.150343169,l6:0.150343169)i14:0.1486398703,(l4:0.1574012757,l8:0.15740127566)i15:0.1415817636)i13:0.1285909716,l9:0.42757401086)i11:0.6010569737)i5:0.08504631707,l2:1.113677302)i4:1.912405089)i3;","BLNF_59.nwk.txt","LN"
"(((l10:0.977044799605,l9:0.977044799605)i6:0.1639174229,l2:1.1409622225)i4:0.7374282434,((l5:0.3295454943,(l6:0.2549010875,(l7:0.01664706534,l8:0.01664706534)i14:0.23825402216)i12:0.07464440674)i11:0.5170865009,((l3:0.4799255853,l4:0.4799255853)i16:0.02555815384,t3:0.5054837392)i15:0.341148256)i10:1.031758471)i3;","BLNF_12.nwk.txt","LN"
"((((l10:0.002459271665,l11:0.002459271665)i6:0.006818114309,l9:0.009277385974)i5:0.7762662843,((l4:0.1908170272,l5:0.19081702715)i8:0.5147667502,(l2:0.4308672979,(l3:0.2983105798,l6:0.2983105798)i11:0.1325567181)i10:0.2747164795)i7:0.07995989291)i4:0.502434523,(l7:0.1464761965,l8:0.1464761965)i13:1.141501997)i3;","BLN_16.nwk.txt","LN"
